DATAFLOW,LAST UPDATE,freq,nrg_bal,siec,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,NL,2017,21428.401,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,NL,2018,17595.413,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,NL,2019,19693.106,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,NL,2020,21581.195,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,NL,2021,20889.828,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,PL,2013,2320.626,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,PL,2014,5636.937,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,PL,2015,9488.222,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,PL,2016,13153.981,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,PL,2017,11334.234,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,PL,2018,8130.003,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,PL,2019,7772.594,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,PL,2020,7196.102,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,PL,2021,7230.477,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,PT,2013,4847.554,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,PT,2014,4919.697,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,PT,2015,4425.353,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,PT,2016,4396.727,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,PT,2017,3870.672,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,PT,2018,4435.132,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,PT,2019,5007.502,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,PT,2020,4814.289,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,PT,2021,4478.057,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,RO,2013,2468.836,
